@RELATION test

@ATTRIBUTE agentHolder,REAL
@ATTRIBUTE count_empty_boxes REAL
@ATTRIBUTE distance_from_box_to_target REAL
@ATTRIBUTE class {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}

@DATA
1,1,120,10
1,1,300,10
1,1,500,10
1,1,750,10
1,1,1000,10
1,5,120,10
1,5,300,10
1,5,500,10
1,5,750,10
1,5,1000,10
1,10,120,10
1,10,300,10
1,10,500,10
1,10,750,10
1,10,1000,10
1,15,120,10
1,15,300,10
1,15,500,10
1,15,750,10
1,15,1000,10
2,1,120,10
2,1,300,10
2,1,500,10
2,1,750,10
2,1,1000,10
2,5,120,10
2,5,300,10
2,5,500,10
2,5,750,10
2,5,1000,10
2,10,120,10
2,10,300,10
2,10,500,10
2,10,750,10
2,10,1000,10
2,15,120,10
2,15,300,10
2,15,500,10
2,15,750,10
2,15,1000,10
3,1,120,5
3,1,300,4
3,1,500,3
3,1,750,2
3,1,1000,1
3,5,120,5
3,5,300,4
3,5,500,3
3,5,750,2
3,5,1000,1
3,10,120,5
3,10,300,4
3,10,500,3
3,10,750,2
3,10,1000,1
3,15,120,5
3,15,300,4
3,15,500,3
3,15,750,2
3,15,1000,1
4,1,120,5
4,1,300,4
4,1,500,3
4,1,750,2
4,1,1000,1
4,5,120,5
4,5,300,4
4,5,500,3
4,5,750,2
4,5,1000,1
4,10,120,5
4,10,300,4
4,10,500,3
4,10,750,2
4,10,1000,1
4,15,120,5
4,15,300,4
4,15,500,3
4,15,750,2
4,15,1000,1
5,1,120,5
5,1,300,4
5,1,500,3
5,1,750,2
5,1,1000,1
5,5,120,5
5,5,300,4
5,5,500,3
5,5,750,2
5,5,1000,1
5,10,120,5
5,10,300,4
5,10,500,3
5,10,750,2
5,10,1000,1
5,15,120,5
5,15,300,4
5,15,500,3
5,15,750,2
5,15,1000,1
6,1,120,5
6,1,300,4
6,1,500,3
6,1,750,2
6,1,1000,1
6,5,120,5
6,5,300,4
6,5,500,3
6,5,750,2
6,5,1000,1
6,10,120,5
6,10,300,4
6,10,500,3
6,10,750,2
6,10,1000,1
6,15,120,5
6,15,300,4
6,15,500,3
6,15,750,2
6,15,1000,1
7,1,120,5
7,1,300,4
7,1,500,3
7,1,750,2
7,1,1000,1
7,5,120,5
7,5,300,4
7,5,500,3
7,5,750,2
7,5,1000,1
7,10,120,5
7,10,300,4
7,10,500,3
7,10,750,2
7,10,1000,1
7,15,120,5
7,15,300,4
7,15,500,3
7,15,750,2
7,15,1000,1
8,1,120,5
8,1,300,4
8,1,500,3
8,1,750,2
8,1,1000,1
8,5,120,5
8,5,300,4
8,5,500,3
8,5,750,2
8,5,1000,1
8,10,120,5
8,10,300,4
8,10,500,3
8,10,750,2
8,10,1000,1
8,15,120,5
8,15,300,4
8,15,500,3
8,15,750,2
8,15,1000,1
9,1,120,5
9,1,300,4
9,1,500,3
9,1,750,2
9,1,1000,1
9,5,120,5
9,5,300,4
9,5,500,3
9,5,750,2
9,5,1000,1
9,10,120,5
9,10,300,4
9,10,500,3
9,10,750,2
9,10,1000,1
9,15,120,5
9,15,300,4
9,15,500,3
9,15,750,2
9,15,1000,1
10,1,120,10
10,1,300,10
10,1,500,10
10,1,750,10
10,1,1000,10
10,5,120,10
10,5,300,10
10,5,500,10
10,5,750,10
10,5,1000,10
10,10,120,10
10,10,300,10
10,10,500,10
10,10,750,10
10,10,1000,10
10,15,120,10
10,15,300,10
10,15,500,10
10,15,750,10
10,15,1000,10
11,1,120,10
11,1,300,10
11,1,500,10
11,1,750,10
11,1,1000,10
11,5,120,10
11,5,300,10
11,5,500,10
11,5,750,10
11,5,1000,10
11,10,120,10
11,10,300,10
11,10,500,10
11,10,750,10
11,10,1000,10
11,15,120,10
11,15,300,10
11,15,500,10
11,15,750,10
11,15,1000,10
12,1,120,5
12,1,300,4
12,1,500,3
12,1,750,2
12,1,1000,1
12,5,120,5
12,5,300,4
12,5,500,3
12,5,750,2
12,5,1000,1
12,10,120,5
12,10,300,4
12,10,500,3
12,10,750,2
12,10,1000,1
12,15,120,5
12,15,300,4
12,15,500,3
12,15,750,2
12,15,1000,1
